Clave;Provincia de Valencia;Km costa;Numero de playas;Viviendas;Hombres;Mujeres;Habitantes
46001;Ademuz;0;0;507;601;598;1199
46002;Ador;0;0;367;570;555;1125
46004;Agullent;0;0;628;1064;1140;2204
46042;Aielo de Malferit;0;0;1121;1949;2004;3953
46005;Alaquas;0;0;7033;12869;13056;25925
46006;Albaida;0;0;1781;2844;2938;5782
46007;Albal;0;0;2771;5586;5653;11239
46008;Albalat de la Ribera;0;0;1158;1696;1796;3492
46009;Albalat dels Sorells;0,3;0;1129;1706;1810;3516
46010;Albalat dels Tarongers;0;0;195;348;316;664
46011;Alberic;0;0;2614;4479;4652;9131
46012;Alborache;0;0;312;456;441;897
46013;Alboraya;3,4;1;3654;7245;7383;14628
46014;Albuixech;1;0;1060;1495;1554;3049
46015;Alcacer;0;0;2259;3722;3653;7375
46016;Alcantera de Xuquer;0;0;454;720;739;1459
46018;Alcublas;0;0;324;460;397;857
46020;Alcudia de Crespins, l';0;0;1234;2038;2088;4126
46019;Alcudia, l';0;0;3077;5155;5300;10455
46021;Aldaia;0;0;6466;12088;12006;24094
46022;Alfafar;0;0;6181;9573;9857;19430
46024;Alfara de Algimia;0;0;179;247;252;499
46025;Alfara del Patriarca;0;0;905;1334;1392;2726
46026;Alfarp;0;0;432;636;667;1303
46027;Alfarrasi;0;0;352;594;631;1225
46023;Alfauir;0;0;103;184;172;356
46028;Algar de Palancia;0;0;156;206;210;416
46029;Algemesi;0;0;7927;12283;12611;24894
46030;Algimia de Alfara;0;0;292;409;410;819
46031;Alginet;0;0;3642;6009;6053;12062
46032;Almassera;0;0;1708;2664;2859;5523
46033;Almisera;0;0;70;114;126;240
46034;Almoines;0;0;616;854;871;1725
46035;Almussafes;0;0;1957;3519;3511;7030
46036;Alpuente;0;0;449;492;466;958
46037;Alqueria de la Comtessa, l';0;0;511;688;769;1457
46017;Alzira;0;0;12738;19709;20681;40390
46038;Andilla;0;0;85;173;138;311
46039;Anna;0;0;836;1293;1281;2574
46040;Antella;0;0;560;763;770;1533
46041;Aras de Alpuente;0;0;155;222;175;397
46003;Atzeneta d'Albaida;0;0;376;629;603;1232
46043;Ayelo de Rugat;0;0;72;101;92;193
46044;Ayora;0;0;1734;2814;2687;5501
46046;Barx;0;0;333;570;610;1180
46045;Barxeta;0;0;527;814;798;1612
46047;Belgida;0;0;220;325;349;674
46048;Bellreguard;0,7;1;1172;1876;1884;3760
46049;Bellus;0;0;135;194;197;391
46050;Benageber;0;0;46;86;71;157
46051;Benaguasil;0;0;2850;4609;4542;9151
46052;Benavites;0;0;222;313;337;650
46053;Beneixida;0;0;163;309;342;651
46054;Benetusser;0;0;4181;6834;6937;13771
46055;Beniarjo;0;0;399;568;602;1170
46056;Beniatjar;0;0;87;121;119;240
46057;Benicolet;0;0;144;251;238;489
46060;Benifaio;0;0;3689;5974;6146;12120
46059;Benifairo de la Valldigna;0;0;528;807;827;1634
46058;Benifairo de les Valls;0;0;654;973;993;1966
46061;Benifla;0;0;53;70;87;157
46062;Beniganim;0;0;1560;2767;2672;5439
46063;Benimodo;0;0;587;905;855;1760
46064;Benimuslem;0;0;190;271;280;551
46065;Beniparrell;0;0;415;808;770;1578
46066;Benirredra;0;0;264;493;542;1035
46067;Benisano;0;0;531;870;825;1695
46068;Benisoda;0;0;91;166;132;298
46069;Benisuera;0;0;72;89;102;191
46070;Betera;0;0;3056;6142;6234;12376
46071;Bicorp;0;0;266;341;355;696
46072;Bocairent;0;0;1433;2261;2325;4586
46073;Bolbaite;0;0;485;729;703;1432
46074;Bonrepos i Mirambell;0;0;741;1153;1202;2355
46075;Bufali;0;0;64;104;112;216
46076;Bugarra;0;0;341;417;419;836
46077;Buñol;0;0;2814;4631;4727;9358
46078;Burjassot;0;0;10184;16699;17727;34426
46079;Calles;0;0;177;232;202;434
46080;Camporrobles;0;0;552;699;680;1379
46081;Canals;0;0;3696;6370;6487;12857
46082;Canet d'En Berenguer;1,5;1;501;1081;1163;2244
46083;Carcaixent;0;0;6405;10107;10615;20722
46084;Carcer;0;0;662;983;1051;2034
46085;Carlet;0;0;4136;6879;7177;14056
46086;Carricola;0;0;22;37;41;78
46087;Casas Altas;0;0;68;87;76;163
46088;Casas Bajas;0;0;143;161;139;300
46089;Casinos;0;0;743;1206;1110;2316
46090;Castello de Rugat;0;0;653;1051;1001;2052
46091;Castellonet de la Conquesta;0;0;35;78;69;147
46092;Castielfabib;0;0;261;289;247;536
46093;Catadau;0;0;783;1114;1159;2273
46094;Catarroja;0;0;6296;10052;10411;20463
46095;Caudete de las Fuentes;0;0;331;410;402;812
46096;Cerda;0;0;87;145;148;293
46107;Chella;0;0;833;1247;1278;2525
46106;Chelva;0;0;738;1096;1078;2174
46108;Chera;0;0;237;289;278;567
46109;Cheste;0;0;2124;3451;3383;6834
46111;Chiva;0;0;2335;4525;4535;9060
46112;Chulilla;0;0;266;365;374;739
46097;Cofrentes;0;0;307;487;503;990
46098;Corbera;0;0;1063;1491;1608;3099
46099;Cortes de Pallas;0;0;263;337;308;645
46100;Cotes;0;0;127;170;202;372
46105;Cullera;21;9;6791;10047;10350;20397
46113;Daimus;2;1;469;721;717;1438
46114;Domeño;0;0;142;253;238;491
46115;Dos Aguas;0;0;141;219;170;389
46116;Eliana, l';0;0;2412;6066;6001;12067
46117;Emperador;0;0;60;94;98;192
46118;Enguera;0;0;1565;2321;2377;4698
46119;enova, l';0;0;416;538;522;1060
46120;Estivella;0;0;376;500;576;1076
46121;Estubeny;0;0;47;63;79;142
46122;Faura;0;0;938;1413;1406;2819
46123;Favara;0;0;561;830;893;1723
46126;Foios;0;0;1626;2555;2710;5265
46128;Font de la Figuera, la;0;0;834;1078;1052;2130
46127;Font d'En Carros, la;0;0;1026;1576;1595;3171
46124;Fontanars dels Alforins;0;0;295;504;468;972
46125;Fortaleny;0;0;327;508;487;995
46129;Fuenterrobles;0;0;250;372;347;719
46131;Gandia;4;1;16065;28075;29443;57518
46130;Gavarda;0;0;364;600;644;1244
46132;Genoves;0;0;637;1158;1165;2323
46133;Gestalgar;0;0;240;327;333;660
46134;Gilet;0;0;392;735;745;1480
46135;Godella;0;0;2850;5257;5501;10758
46136;Godelleta;0;0;561;1046;1098;2144
46137;Granja de la Costera, la;0;0;137;169;188;357
46138;Guadasequies;0;0;122;203;187;390
46139;Guadassuar;0;0;1727;2672;2690;5362
46140;Guardamar;0,6;0;25;38;32;70
46141;Higueruelas;0;0;189;291;268;559
46142;Jalance;0;0;449;563;540;1103
46144;Jarafuel;0;0;369;501;449;950
46154;Llanera de Ranes;0;0;318;518;495;1013
46155;Llauri;0;0;468;643;645;1288
46147;Lliria;0;0;4288;7885;7915;15800
46153;Llocnou de Sant Jeroni;0;0;201;276;279;555
46156;Llombai;0;0;704;1121;1107;2228
